"paper_id","accesses"
"https://openalex.org/W4413258518",2348
"https://openalex.org/W4415503001",6749
"https://openalex.org/W4406236147",692
"https://openalex.org/W4408235315",311
"https://openalex.org/W4408372392",1796
"https://openalex.org/W4408713106",2379
"https://openalex.org/W4410524022",568
"https://openalex.org/W4410546338",358
"https://openalex.org/W4410830883",1163
"https://openalex.org/W4410867280",238
"https://openalex.org/W4412461922",NA
"https://openalex.org/W4413306638",8051
"https://openalex.org/W4413740192",12000
"https://openalex.org/W4414705933",14000
"https://openalex.org/W4414886807",2082
"https://openalex.org/W4417151914",2447
"https://openalex.org/W4407301626",559
"https://openalex.org/W4406149538",595
"https://openalex.org/W4406230477",1891
"https://openalex.org/W4406235918",846
"https://openalex.org/W4406235948",381
"https://openalex.org/W4406235968",199
"https://openalex.org/W4406235982",208
"https://openalex.org/W4406236065",4604
"https://openalex.org/W4406236093",294
"https://openalex.org/W4406236108",190
"https://openalex.org/W4406236128",665
"https://openalex.org/W4406236130",291
"https://openalex.org/W4406236136",376
"https://openalex.org/W4406537882",434
"https://openalex.org/W4406991331",2264
"https://openalex.org/W4406996398",430
"https://openalex.org/W4406996906",2215
"https://openalex.org/W4407301614",2957
"https://openalex.org/W4407675154",233
"https://openalex.org/W4407675318",373
"https://openalex.org/W4407751834",343
"https://openalex.org/W4407789758",304
"https://openalex.org/W4407813643",251
"https://openalex.org/W4408036012",569
"https://openalex.org/W4408275899",836
"https://openalex.org/W4408329006",528
"https://openalex.org/W4408458794",1298
"https://openalex.org/W4408833344",349
"https://openalex.org/W4408934731",589
"https://openalex.org/W4408995296",314
"https://openalex.org/W4409032545",205
"https://openalex.org/W4409036658",441
"https://openalex.org/W4409210057",298
"https://openalex.org/W4409245762",3098
"https://openalex.org/W4409482159",357
"https://openalex.org/W4409482216",309
"https://openalex.org/W4409817276",248
"https://openalex.org/W4409868616",587
"https://openalex.org/W4410007667",556
"https://openalex.org/W4410127467",2674
"https://openalex.org/W4410172417",685
"https://openalex.org/W4410309254",696
"https://openalex.org/W4410447184",205
"https://openalex.org/W4410447239",672
"https://openalex.org/W4410741945",401
"https://openalex.org/W4410831136",260
"https://openalex.org/W4410833013",521
"https://openalex.org/W4410862464",1811
"https://openalex.org/W4410866767",229
"https://openalex.org/W4410973928",514
"https://openalex.org/W4411100728",893
"https://openalex.org/W4411177740",2559
"https://openalex.org/W4411246059",404
"https://openalex.org/W4411458595",153
"https://openalex.org/W4411497460",568
"https://openalex.org/W4411568580",386
"https://openalex.org/W4411575892",375
"https://openalex.org/W4411620005",406
"https://openalex.org/W4411620103",555
"https://openalex.org/W4411709709",236
"https://openalex.org/W4411709718",263
"https://openalex.org/W4411830288",1272
"https://openalex.org/W4411900467",720
"https://openalex.org/W4411981007",334
"https://openalex.org/W4412008156",352
"https://openalex.org/W4412038595",2193
"https://openalex.org/W4412038635",556
"https://openalex.org/W4412102601",895
"https://openalex.org/W4412151249",4309
"https://openalex.org/W4412192205",234
"https://openalex.org/W4412192283",917
"https://openalex.org/W4412470453",605
"https://openalex.org/W4412492018",2000
"https://openalex.org/W4412589652",751
"https://openalex.org/W4412708399",401
"https://openalex.org/W4412784616",471
"https://openalex.org/W4412785553",445
"https://openalex.org/W4412785929",158
"https://openalex.org/W4412798850",224
"https://openalex.org/W4412819472",393
"https://openalex.org/W4412819558",870
"https://openalex.org/W4413020549",315
"https://openalex.org/W4413020602",3082
"https://openalex.org/W4413037983",616
"https://openalex.org/W4413037995",365
"https://openalex.org/W4413113689",952
"https://openalex.org/W4413400906",224
"https://openalex.org/W4413495114",559
"https://openalex.org/W4413740062",255
"https://openalex.org/W4413740151",210
"https://openalex.org/W4413740166",508
"https://openalex.org/W4413941204",411
"https://openalex.org/W4414018342",1818
"https://openalex.org/W4414085721",3701
"https://openalex.org/W4414162099",236
"https://openalex.org/W4414268164",715
"https://openalex.org/W4414358163",751
"https://openalex.org/W4414419615",274
"https://openalex.org/W4414419948",268
"https://openalex.org/W4414531824",263
"https://openalex.org/W4414685449",493
"https://openalex.org/W4414691403",2344
"https://openalex.org/W4414777734",1328
"https://openalex.org/W4414938226",3323
"https://openalex.org/W4415277969",641
"https://openalex.org/W4415464370",2026
"https://openalex.org/W4415464661",1598
"https://openalex.org/W4415464687",243
"https://openalex.org/W4415503013",587
"https://openalex.org/W4415591496",20000
"https://openalex.org/W4415622419",1254
"https://openalex.org/W4415790296",4170
"https://openalex.org/W4415849465",938
"https://openalex.org/W4415955291",505
"https://openalex.org/W4415965048",261
"https://openalex.org/W4415965077",3361
